               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15888,            0.034034,            0.052812,            0.015487,             0.05584,            0.012571,           0.0032666,             0.14639,            0.053452,            0.048077,            0.070074,           0.0033251,           0.0033251
                   1,             0.14281,            0.052448,            0.042102,              0.3605,            0.071539,            0.041969,            0.014682,             0.13995,              0.0712,            0.044287,            0.039854,           0.0064387,           0.0064387
                   2,             0.13854,            0.063096,            0.038912,             0.26525,            0.087518,             0.05078,            0.017985,              0.1384,            0.074468,            0.042716,           0.0094146,           0.0093323,           0.0093323
                   3,             0.13639,            0.067622,            0.037309,             0.29865,            0.095782,            0.066303,             0.02575,             0.13616,            0.078628,            0.041727,             0.00901,             0.00901,             0.00901
                   4,             0.13522,            0.069901,            0.036042,             0.34327,             0.10179,             0.07116,            0.028249,             0.13602,            0.078006,            0.042237,             0.00901,             0.00901,             0.00901
                   5,             0.13405,            0.069958,            0.035278,             0.45519,             0.10668,            0.080883,            0.032525,             0.13505,            0.079251,            0.041356,             0.00868,             0.00868,             0.00868
                   6,             0.13347,            0.070468,            0.034635,             0.45883,             0.11489,            0.087632,            0.036548,             0.13453,            0.080191,            0.041291,             0.00835,             0.00835,             0.00835
                   7,             0.13291,            0.071553,            0.034571,             0.45569,             0.11309,            0.090703,            0.037414,              0.1341,            0.080237,            0.040745,             0.00802,             0.00802,             0.00802
                   8,              0.1328,            0.071608,            0.033867,             0.37021,             0.11155,            0.094727,            0.039715,             0.13386,            0.080711,            0.040523,             0.00769,             0.00769,             0.00769
                   9,             0.13241,            0.071466,            0.033916,             0.26335,             0.11741,            0.096309,            0.040912,             0.13377,             0.08077,            0.040653,             0.00736,             0.00736,             0.00736
                  10,             0.13192,            0.071834,            0.033311,             0.38175,             0.11878,            0.099433,            0.042373,             0.13355,            0.080668,            0.039898,             0.00703,             0.00703,             0.00703
                  11,             0.13169,            0.071917,             0.03294,             0.27365,             0.12422,             0.10433,            0.044158,             0.13352,            0.082637,            0.040479,              0.0067,              0.0067,              0.0067
                  12,             0.13161,            0.072498,            0.033044,             0.37874,             0.12243,             0.10325,            0.044371,             0.13327,            0.080932,             0.04091,             0.00637,             0.00637,             0.00637
                  13,             0.13136,             0.07246,            0.032698,             0.28059,             0.12976,             0.10916,            0.047599,             0.13293,             0.08139,            0.040186,             0.00604,             0.00604,             0.00604
                  14,             0.13132,            0.072216,            0.032559,             0.28721,             0.12793,             0.11003,            0.047645,             0.13294,            0.081089,            0.040061,             0.00571,             0.00571,             0.00571
                  15,             0.13099,            0.072977,            0.032602,             0.28592,             0.13091,             0.11176,            0.048357,             0.13286,            0.081132,             0.03942,             0.00538,             0.00538,             0.00538
                  16,             0.13078,            0.072807,            0.032219,             0.30365,             0.14114,             0.11579,            0.050518,             0.13274,            0.081331,            0.040071,             0.00505,             0.00505,             0.00505
                  17,             0.13076,              0.0725,            0.031958,             0.38697,             0.13422,             0.11452,            0.050666,             0.13257,             0.08161,            0.040237,             0.00472,             0.00472,             0.00472
                  18,             0.13049,            0.072877,            0.031823,             0.31142,              0.1355,              0.1169,            0.051234,             0.13244,            0.081123,            0.039504,             0.00439,             0.00439,             0.00439
                  19,             0.13041,            0.072822,            0.031842,             0.23259,             0.13661,             0.11887,            0.052815,             0.13248,            0.081434,            0.040047,             0.00406,             0.00406,             0.00406
                  20,             0.13055,            0.072896,            0.031642,             0.29649,               0.134,             0.11602,            0.051479,             0.13233,            0.082185,            0.039508,             0.00373,             0.00373,             0.00373
                  21,             0.13025,            0.073137,            0.031701,             0.21831,             0.13889,             0.12019,            0.053219,             0.13231,            0.081513,            0.039831,              0.0034,              0.0034,              0.0034
                  22,             0.13009,            0.072728,            0.031436,             0.33031,             0.14078,             0.12261,             0.05391,             0.13207,            0.081549,            0.039319,             0.00307,             0.00307,             0.00307
                  23,             0.13005,            0.073526,            0.031083,             0.31948,             0.14612,             0.12293,            0.054424,             0.13206,            0.081077,            0.039438,             0.00274,             0.00274,             0.00274
                  24,             0.12992,            0.073098,            0.031032,             0.32391,              0.1408,             0.12348,             0.05472,             0.13202,            0.081802,             0.03927,             0.00241,             0.00241,             0.00241
                  25,             0.12987,            0.072831,            0.031179,             0.21644,             0.14299,             0.12506,            0.055451,             0.13197,            0.081294,            0.039407,             0.00208,             0.00208,             0.00208
                  26,             0.12982,            0.073297,            0.030943,             0.19501,            0.095502,            0.089571,             0.04018,             0.13192,            0.081936,            0.038983,             0.00175,             0.00175,             0.00175
                  27,             0.12983,            0.072582,            0.031083,             0.19647,            0.099228,            0.089916,            0.040542,             0.13185,            0.081721,            0.039227,             0.00142,             0.00142,             0.00142
                  28,             0.12972,            0.073192,            0.030705,              0.2359,             0.14451,              0.1276,            0.056557,             0.13184,            0.082151,            0.039008,             0.00109,             0.00109,             0.00109
                  29,             0.12956,            0.072623,            0.030843,             0.21724,             0.14562,             0.12667,            0.056583,             0.13177,            0.082028,            0.039122,             0.00076,             0.00076,             0.00076
